
COVID-19 POSITIVE RESULTS 14 DAY PREDICTIONS
GROWTH RATE: 1.5
SOCIAL DISTANCING COMPLIANCE:20.0%
Day	NSW	ACT	QLD	VIC	SA	WA	TAS	NT	Total
-----------------------------------------------------------------------------
1	40	1120	923	1320	520	630	125	110	4788
2	48	1344	1108	1584	624	756	150	132	5746
3	58	1613	1329	1901	749	907	180	158	6895
4	69	1935	1595	2281	899	1089	216	190	8274
5	83	2322	1914	2737	1078	1306	259	228	9927
6	100	2787	2297	3285	1294	1568	311	274	11916
7	119	3344	2756	3941	1553	1881	373	328	14295
8	143	4013	3307	4730	1863	2257	448	394	17155
9	172	4816	3969	5676	2236	2709	537	473	20588
10	206	5779	4762	6811	2683	3251	645	568	24705
11	248	6935	5715	8173	3220	3901	774	681	29647
12	297	8322	6858	9808	3864	4681	929	817	35576
13	357	9986	8230	11769	4636	5617	1115	981	42691
14	428	11983	9875	14123	5564	6741	1337	1177	51228
15	514	14380	11851	16948	6676	8089	1605	1412	61475
